Organization,Followed On
Martins BI & Consultoria,Mon Mar 10 15:30:04 UTC 2025
Better Business Analytics,Tue Feb 25 22:02:44 UTC 2025
Kraft Heinz,Tue Feb 11 13:26:49 UTC 2025
JBS Food Canada,Tue Feb 11 02:31:53 UTC 2025
EPAM Systems,Tue Dec 17 13:07:52 UTC 2024
Impetus Mentorias e Treinamentos,Thu Dec 05 18:17:15 UTC 2024
Warren Investimentos,Thu Nov 21 15:52:33 UTC 2024
Votorantim Cimentos North America (VCNA),Mon Oct 07 02:04:49 UTC 2024
Forces Armées Canadiennes,Wed Aug 28 18:43:16 UTC 2024
Canadian Armed Forces | Forces armées canadiennes,Wed Aug 28 18:42:51 UTC 2024
FIAP,Tue Aug 20 01:16:58 UTC 2024
Burger King,Fri Aug 02 02:03:24 UTC 2024
McDonald's,Fri Aug 02 02:02:51 UTC 2024
Ontario Power Generation,Wed Jun 26 23:23:39 UTC 2024
Vaco,Thu Jun 06 12:34:10 UTC 2024
SAP,Thu May 09 12:18:22 UTC 2024
"Dragados Canada, Inc.",Thu Mar 21 16:36:06 UTC 2024
Evolve Data,Fri Feb 09 12:29:14 UTC 2024
St Marys Cement,Fri Feb 09 03:37:58 UTC 2024
Toyota Canada Inc.,Thu Feb 08 22:38:48 UTC 2024
e-brom,Thu Feb 01 21:08:23 UTC 2024
LGG Industrial,Tue Jan 30 16:58:15 UTC 2024
McCain Foods,Fri Jan 19 15:30:03 UTC 2024
Lyft,Mon Jan 01 20:06:25 UTC 2024
Cogna Educação,Thu Nov 30 23:44:45 UTC 2023
Rogers Communications,Thu Nov 30 02:17:24 UTC 2023
AtkinsRéalis,Tue Nov 28 20:25:07 UTC 2023
Allstate Canada,Tue Nov 28 01:29:15 UTC 2023
ZWILLING J.A. Henckels Canada Ltd.,Tue Nov 28 00:57:55 UTC 2023
KAS Staffing Ltd,Mon Nov 27 16:34:06 UTC 2023
CCRM,Mon Nov 27 16:18:06 UTC 2023
407 ETR,Fri Nov 10 02:28:10 UTC 2023
Codebasics,Mon Nov 06 23:28:19 UTC 2023
Maritime Analytica,Mon Nov 06 18:23:11 UTC 2023
Hashtag Treinamentos,Wed Nov 01 21:59:39 UTC 2023
CN,Tue Oct 31 03:14:48 UTC 2023
Americas Food and Beverage Show,Tue Sep 12 02:23:09 UTC 2023
The Coca-Cola Company,Tue Aug 22 20:26:18 UTC 2023
Tyson Foods,Tue Aug 22 20:26:14 UTC 2023
Gay Lea Foods,Tue Aug 22 20:25:50 UTC 2023
Olymel,Tue Aug 22 20:25:48 UTC 2023
Mondelēz International,Tue Aug 22 20:25:42 UTC 2023
Sofina Foods Canada,Tue Aug 22 20:25:31 UTC 2023
Maple Leaf Foods Inc,Tue Aug 22 20:25:25 UTC 2023
Cargill,Tue Aug 22 20:25:11 UTC 2023
Ford Motor Company,Tue Aug 08 02:28:45 UTC 2023
AJC Group,Mon Jun 26 19:40:19 UTC 2023
AJC International,Mon Jun 26 19:40:00 UTC 2023
"Interra International, LLC.",Mon Jun 26 19:39:49 UTC 2023
Linamar Corporation,Sat Jun 17 02:31:47 UTC 2023
Alstom,Wed Jun 07 04:06:58 UTC 2023
Data Driven Supply Chain LLC,Thu May 18 11:05:45 UTC 2023
Inspired Women of Kymera #iWoK,Tue May 16 15:58:59 UTC 2023
EssilorLuxottica,Mon May 08 18:35:41 UTC 2023
Trusted Brands Brasil,Wed Mar 29 12:43:56 UTC 2023
Import,Sat Mar 11 12:05:27 UTC 2023
Key Performance Indicators,Sat Mar 11 12:00:15 UTC 2023
Forecasting,Sat Mar 11 11:45:29 UTC 2023
Data Analysis,Sat Mar 11 11:34:06 UTC 2023
International Logistics,Sat Mar 11 11:19:58 UTC 2023
Navacord,Wed Mar 08 03:37:02 UTC 2023
Supply Chain Data Analytics - Español,Mon Feb 27 19:13:39 UTC 2023
Supply Chain Data Analytics,Mon Feb 27 19:13:32 UTC 2023
Escola de Dados,Sun Feb 12 03:01:39 UTC 2023
Lightci (Light Consulting),Wed Feb 08 03:17:49 UTC 2023
Wipro,Wed Feb 08 02:27:16 UTC 2023
Trinium Technologies,Fri Feb 03 14:24:22 UTC 2023
DycoTrade,Tue Jan 24 15:45:38 UTC 2023
SUEZ,Fri Jan 20 07:38:47 UTC 2023
Catalent Pharma Solutions,Thu Jan 19 22:29:25 UTC 2023
General Motors,Thu Jan 19 22:28:54 UTC 2023
ZF Group,Thu Jan 19 22:15:56 UTC 2023
thyssenkrupp Supply Chain Services,Thu Jan 19 21:54:21 UTC 2023
CargoWise,Sat Dec 17 21:10:47 UTC 2022
WiseTech Global,Sat Dec 17 21:10:44 UTC 2022
Clue Digital,Fri Dec 02 02:09:06 UTC 2022
Kymera International,Thu Dec 01 14:19:52 UTC 2022
LCBO,Wed Nov 30 11:32:28 UTC 2022
ITBR Canada,Fri Nov 25 23:37:40 UTC 2022
Trade Traffic Walls Ltd ,Wed Nov 09 17:00:47 UTC 2022
CloudHorizon Consulting INC,Wed Nov 09 17:00:34 UTC 2022
Power BI Visualization,Fri Oct 28 12:40:50 UTC 2022
Empire Life,Tue Sep 27 01:53:52 UTC 2022
ERIKS North America,Tue Sep 20 02:28:29 UTC 2022
ERM Engenharia de Rolamentos e Mancais,Sun Sep 18 18:44:39 UTC 2022
Nutrien,Tue Aug 30 00:54:29 UTC 2022
Humble & Fume Inc.,Thu Aug 25 00:22:37 UTC 2022
Cubic,Thu Aug 25 00:20:41 UTC 2022
Affinity,Thu Aug 04 19:00:18 UTC 2022
Lighting Solutions Group,Sat Jul 23 11:44:01 UTC 2022
Collabera Canada Inc.,Tue Jul 19 19:12:38 UTC 2022
The Sales Group,Mon Jul 18 15:49:52 UTC 2022
Adonis Partners,Mon Jul 18 15:36:03 UTC 2022
Procom,Thu Jul 14 01:58:23 UTC 2022
LeverageTek Staffing Solutions,Thu Jul 14 01:54:33 UTC 2022
Data Hackers,Thu Jul 14 01:35:53 UTC 2022
S.i. Systems,Wed Jul 13 02:38:24 UTC 2022
ESSFeed,Tue Jul 12 02:01:24 UTC 2022
LG Electronics Canada,Fri Jul 08 01:31:28 UTC 2022
