Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Power BI Essential Training (2019),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile—explaining how to use it to view and share your data—and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2020-04-07 17:14 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-09-29 13:33 UTC,N/A,false,N/A,
Supply Chain and Operations Careers: Certification Tips and Tricks (2019),"There are dozens of certifications for supply chain professionals. So which one is best for you? This course offers an agnostic approach to leading certifications in the supply chain, logistics, procurement, and operations job roles. Daniel Stanton walks through each credential, from APICS to ISM and from CSCMP to SCMA, covering the prerequisites, benefits, and objectives of each program. The final three chapters cover the topics common to all supply chain certifications—supply chain functions, processes, and jargon—allowing you to refresh your knowledge quickly. Using these tips and tricks, you can identify the best certification path for your career and be better prepared to pass the qualifying exam.",Course,2021-06-13 17:13 UTC,N/A,false,N/A,
Fundamentos de Gestão de Projetos: Riscos,"Sem riscos, não há recompensas. Porém, caso não sejam gerenciados corretamente, os riscos reduzem sua capacidade de atingir os objetivos do projeto, podendo até desencaminhá-lo completamente. Neste curso, Bob McGannon, autor e profissional de gerenciamento de projetos, mostra como prever, avaliar e gerenciar riscos em projetos — sejam eles grandes ou pequenos. Descubra como avaliar a tolerância a riscos das partes interessadas, montar um plano de riscos, criar um registro de riscos e manter a continuidade do projeto conforme os riscos surgem.",Course,2023-09-02 00:55 UTC,N/A,false,N/A,
Learning SAP MM (Materials Management),"To consistently deliver completed products on time, an organization needs an effective system for managing products, inventory, and purchased materials. SAP Materials Management (MM), a key module in SAP S/4HANA, tracks all aspects of material management—from purchase through sale—for enterprise organizations. In this course, learn how to get up and running with SAP MM. To begin, instructor Justin Valley provides a high-level look at the materials management process in SAP MM, as well as how it integrates with other SAP modules. Next, Justin shows how to create material master records and approach the purchasing, inventory management, and physical inventory processes (and run related reports).",Course,2023-02-07 04:02 UTC,N/A,false,N/A,
Fundamentos de Gestão de Projetos (2018),"A gestão de projetos é uma abordagem de início-a-término para a organização do trabalho e realização de projetos mais bem-sucedidos. <br>É uma profissão, mas também um método que todos podem aplicar para atingir metas e gerenciar o trabalho do projeto com efetividade. A gestão de projetos pode ser usada em projetos pequenos e simples, como também em iniciativas corporativas complexas.<br><br>
Bonnie Biafore sempre foi fascinada por como as coisas funcionam e como fazer as coisas funcionarem melhor. Neste curso, ela explica os fundamentos da gestão de projetos, desde a definição do problema, estabelecimento de metas e objetivos do projeto e a construção de um plano de projeto até como gerenciar os recursos da equipe, cumprir os prazos e encerrar o projeto. Ao longo do curso ela dá dicas sobre como informar o desempenho do projeto, manter o projeto no rumo e obter a aceitação do cliente.",Course,2023-07-11 23:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728382,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728382,Course,2020-12-16 03:36 UTC,N/A,false,N/A,
JavaScript: Formação Básica,"O JavaScript é uma linguagem de script para páginas web. À medida que a web evolui de um ambiente estático para um dinâmico, o foco da tecnologia está se afastando de marcação e estilo estáticos - frequentemente tratados por sistemas de gerenciamento de conteúdo ou scripts automatizados - para interfaces dinâmicas e interações avançadas. Uma vez visto como opcional, o JavaScript agora está se tornando parte integrante da web, ao inserir o seu script em cada camada.

Através de exemplos práticos e mini-projetos, este curso irá lhe ajudar a formar sua compreensão do JavaScript passo a passo, desde princípios básicos como variáveis, tipos de dados, condicionais e funções até tópicos avançados, incluindo laços de repetição, closures (fechamentos) e DOM scripting. Ao longo do percurso, você também será apresentado ao ES6 e aos fundamentos das bibliotecas de JavaScript.",Course,2020-04-26 14:17 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Managing Simulations Using VBA,"<p>Did you know you can record and run Solver macros, generate random inputs, run multiple simulations, and more, in Excel? Moreover, you can do all this without buying expensive specialty software. In this course, instructor Curt Frye shows how to enhance your supply chain analysis using the Solver add-in in combination with VBA. Working from an example transportation problem, Curt steps through creating a reference to the Solver VBA library, recording and running a Solver macro, generating random inputs, and defining a loop structure to run multiple simulations. Then he moves on to enabling detailed analysis by writing model output, creating a results dashboard to analyze your model output, exploring alternative scenarios with a Solver model, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2021-11-18 15:41 UTC,N/A,false,N/A,
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023-12-19 02:40 UTC,N/A,false,N/A,
